episode,timestamp,circuit,mode,success,wall_crash,timeout,checkpoints_passed,lap_time_s,episode_reward
1,2026-07-08 18:19:07,default,test,0,1,0,6,,27.2924
1,2026-07-08 18:20:23,default,train,0,0,1,0,,-5.0024
1,2026-07-08 18:20:23,default,train,0,0,1,0,,-5.0264
1,2026-07-08 18:20:23,default,train,0,0,1,0,,-5.0166
1,2026-07-08 18:20:23,default,train,0,0,1,0,,-5.0264
1,2026-07-08 18:20:23,default,train,0,0,1,0,,-5.0166
1,2026-07-08 18:20:23,default,train,0,0,1,0,,-5.0024
1,2026-07-08 18:20:23,default,train,0,0,1,0,,-5.0156
1,2026-07-08 18:20:23,default,train,0,0,1,0,,-5.0125
1,2026-07-08 18:20:23,default,train,0,0,1,0,,-5.0126
2,2026-07-08 18:20:48,default,test,0,0,1,0,,-5.0151
2,2026-07-08 18:22:03,default,train,0,0,1,0,,-5.0131
2,2026-07-08 18:22:03,default,train,0,0,1,0,,-5.0162
2,2026-07-08 18:22:03,default,train,0,0,1,0,,-5.0272
2,2026-07-08 18:22:03,default,train,0,0,1,0,,-5.0171
2,2026-07-08 18:22:03,default,train,0,0,1,0,,-5.0230
2,2026-07-08 18:22:03,default,train,0,0,1,0,,-5.0270
2,2026-07-08 18:22:03,default,train,0,0,1,0,,-5.0029
2,2026-07-08 18:22:03,default,train,0,0,1,0,,-5.0162
2,2026-07-08 18:22:03,default,train,0,0,1,0,,-5.0272
3,2026-07-08 18:22:28,default,test,0,0,1,0,,-5.0154
3,2026-07-08 18:23:43,default,train,0,0,1,0,,-5.0029
3,2026-07-08 18:23:43,default,train,0,0,1,0,,-5.0172
3,2026-07-08 18:23:43,default,train,0,0,1,0,,-5.0230
3,2026-07-08 18:23:43,default,train,0,0,1,0,,-5.0229
3,2026-07-08 18:23:43,default,train,0,0,1,0,,-5.0132
3,2026-07-08 18:23:43,default,train,0,0,1,0,,-5.0162
3,2026-07-08 18:23:43,default,train,0,0,1,0,,-5.0132
3,2026-07-08 18:23:43,default,train,0,0,1,0,,-5.0174
3,2026-07-08 18:23:43,default,train,0,0,1,0,,-5.0132
4,2026-07-08 18:24:08,default,test,0,0,1,0,,-5.0154
4,2026-07-08 18:25:23,default,train,0,0,1,0,,-5.0227
4,2026-07-08 18:25:23,default,train,0,0,1,0,,-5.0224
4,2026-07-08 18:25:23,default,train,0,0,1,0,,-5.0132
4,2026-07-08 18:25:23,default,train,0,0,1,0,,-5.0172
4,2026-07-08 18:25:23,default,train,0,0,1,0,,-5.0162
4,2026-07-08 18:25:23,default,train,0,0,1,0,,-5.0131
4,2026-07-08 18:25:23,default,train,0,0,1,0,,-5.0223
4,2026-07-08 18:25:23,default,train,0,0,1,0,,-5.0227
4,2026-07-08 18:25:23,default,train,0,0,1,0,,-5.0131
5,2026-07-08 18:25:48,default,test,0,0,1,0,,-5.0154
5,2026-07-08 18:27:03,default,train,0,0,1,0,,-5.0132
5,2026-07-08 18:27:03,default,train,0,0,1,0,,-5.0272
5,2026-07-08 18:27:03,default,train,0,0,1,0,,-5.0173
5,2026-07-08 18:27:03,default,train,0,0,1,0,,-5.0173
5,2026-07-08 18:27:03,default,train,0,0,1,0,,-5.0132
5,2026-07-08 18:27:03,default,train,0,0,1,0,,-5.0228
5,2026-07-08 18:27:03,default,train,0,0,1,0,,-5.0130
5,2026-07-08 18:27:03,default,train,0,0,1,0,,-5.0161
5,2026-07-08 18:27:03,default,train,0,0,1,0,,-5.0173
6,2026-07-08 18:27:28,default,test,0,0,1,0,,-5.0154
